"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9060","Login with Locked creds","","Sun Dec 08 22:33:13 WET 2024","passed","Sun Dec 08 22:33:22 WET 2024","","Login Functionality","",""
"","8554","Login with Locked creds","","Sun Dec 08 22:34:00 WET 2024","passed","Sun Dec 08 22:34:08 WET 2024","","Second feature","",""
"","7644","Login with No_Match creds","","Sun Dec 08 22:33:19 WET 2024","passed","Sun Dec 08 22:33:27 WET 2024","","Login Functionality","",""
"","8261","Login with valid creds","","Sun Dec 08 22:33:42 WET 2024","passed","Sun Dec 08 22:33:50 WET 2024","","Login Functionality","",""
"","7679","Login with No_Usename invalid creds","","Sun Dec 08 22:33:29 WET 2024","passed","Sun Dec 08 22:33:37 WET 2024","","Login Functionality","",""
"","7210","Login with No_Password creds","","Sun Dec 08 22:33:34 WET 2024","passed","Sun Dec 08 22:33:42 WET 2024","","Login Functionality","",""
"","8662","Login with Locked creds","","Sun Dec 08 22:33:11 WET 2024","passed","Sun Dec 08 22:33:19 WET 2024","","Login Functionality","",""
"","7583","Login with No_Match creds","","Sun Dec 08 22:33:22 WET 2024","passed","Sun Dec 08 22:33:29 WET 2024","","Login Functionality","",""
"","7398","Login with No_Usename invalid creds","","Sun Dec 08 22:33:27 WET 2024","passed","Sun Dec 08 22:33:34 WET 2024","","Login Functionality","",""
"","8980","Login with Locked creds","","Sun Dec 08 22:34:03 WET 2024","passed","Sun Dec 08 22:34:12 WET 2024","","Second feature","",""
"","8561","Login with valid creds","","Sun Dec 08 22:33:44 WET 2024","passed","Sun Dec 08 22:33:53 WET 2024","","Login Functionality","",""
"","7520","Login with No_Password creds","","Sun Dec 08 22:33:37 WET 2024","passed","Sun Dec 08 22:33:44 WET 2024","","Login Functionality","",""
